epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,13367.2,1.18275,0.84662,1.1863,0.77449,0.71259,0.77651,0.45777,1.25411,1.22892,1.15823,0.00208,0.00208,0.00208
82,13530.3,1.18255,0.8431,1.18829,0.77371,0.71389,0.77752,0.45787,1.25391,1.22594,1.15823,0.001981,0.001981,0.001981
83,13693.7,1.17158,0.83644,1.18282,0.7738,0.71442,0.7777,0.45781,1.25409,1.21647,1.15844,0.001882,0.001882,0.001882
84,13857.2,1.17024,0.82499,1.17832,0.77383,0.71447,0.77777,0.45787,1.25367,1.21355,1.1579,0.001783,0.001783,0.001783
85,14020.1,1.16677,0.82373,1.17916,0.77465,0.71344,0.77729,0.45785,1.25373,1.20648,1.15803,0.001684,0.001684,0.001684
86,14183.1,1.16016,0.81956,1.17389,0.77489,0.71373,0.77658,0.45815,1.25406,1.19947,1.15836,0.001585,0.001585,0.001585
87,14346.3,1.15544,0.80381,1.17198,0.77366,0.71402,0.77675,0.45806,1.25434,1.19475,1.15872,0.001486,0.001486,0.001486
88,14509.9,1.14983,0.79763,1.16475,0.7753,0.7135,0.77691,0.45838,1.25411,1.19234,1.15902,0.001387,0.001387,0.001387
89,14673.7,1.15709,0.7993,1.16954,0.77708,0.71457,0.77731,0.45853,1.25498,1.18745,1.15937,0.001288,0.001288,0.001288
90,14837.3,1.14473,0.79116,1.16564,0.77768,0.71549,0.77746,0.45829,1.25454,1.18227,1.15929,0.001189,0.001189,0.001189
91,15057.8,1.16293,0.73622,1.17042,0.77586,0.71637,0.77813,0.45829,1.25457,1.17533,1.15961,0.00109,0.00109,0.00109
92,15218.8,1.14333,0.70934,1.1565,0.77415,0.71793,0.77843,0.45855,1.25543,1.16824,1.16004,0.000991,0.000991,0.000991
93,15379.6,1.13148,0.69939,1.15158,0.77333,0.71959,0.77858,0.45852,1.25581,1.16098,1.16043,0.000892,0.000892,0.000892
94,15539.4,1.12198,0.68236,1.14502,0.77903,0.7158,0.77776,0.45888,1.25662,1.15372,1.16075,0.000793,0.000793,0.000793
95,15699.5,1.11398,0.67974,1.14134,0.77797,0.7154,0.77782,0.45881,1.25709,1.14672,1.16127,0.000694,0.000694,0.000694
96,15859.5,1.10279,0.66338,1.13671,0.77751,0.71603,0.77856,0.45896,1.25773,1.13897,1.16145,0.000595,0.000595,0.000595
97,16019.8,1.1044,0.66443,1.13568,0.77842,0.71645,0.77844,0.45902,1.25795,1.13229,1.16261,0.000496,0.000496,0.000496
98,16180.4,1.08721,0.65864,1.12241,0.77705,0.71685,0.77823,0.45908,1.25875,1.12607,1.16341,0.000397,0.000397,0.000397
99,16340.7,1.08626,0.65113,1.12201,0.77737,0.71563,0.77799,0.45923,1.2595,1.12117,1.16429,0.000298,0.000298,0.000298
100,16500.5,1.08305,0.64489,1.11879,0.779,0.7152,0.77819,0.45925,1.26043,1.11209,1.16618,0.000199,0.000199,0.000199
